,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,id
43,0.438,0.0156,-29.108,0.0621,0.963,0.288,66.389,0.996,3,1,4,1wFDGTlLE91EeholRAB6x9
44,0.39,0.0429,-27.186,0.0371,0.9,0.116,100.681,0.966,3,1,4,0LGbC0S4fcUIcaEk08Hc8r
45,0.23,0.0361,-28.25,0.0482,0.915,0.109,84.56,0.983,0,0,4,2YC6GfJ4Bl25Lob1g7mc2h
46,0.369,0.0154,-27.04,0.0468,0.224,0.173,72.766,0.992,4,0,4,4RrqS5QeuCvi4VY4a8CDmZ
47,0.178,0.173,-16.399,0.0404,0.884,0.153,74.681,0.941,10,1,4,492xOpyuUiVZ74qhKc2e2w
48,0.4,0.0115,-39.28,0.0488,0.93,0.392,125.504,0.994,2,1,3,0y6TO3w7SWXOeIHKw4eps7
49,0.237,0.247,-14.859,0.0338,0.942,0.311,93.52,0.878,1,1,3,3o9Yhvfzz2M7vpznPrCmFi
50,0.169,0.0524,-29.896,0.0744,0.000556,0.037,72.665,0.937,9,1,4,4ghT12J2hsyfn0JZ4RDWrf
0,0.302,0.414,-8.16,0.0319,0,0.105,110.508,0.0575,2,1,4,1iWHabUgUuuKLBa0TzTHfk
1,0.574,0.628,-8.815,0.036,0,0.803,153.119,0.13,2,0,4,4jDmJ51x1o9NZB5Nxxc7gY
2,0.648,0.594,-7.027,0.0293,0.0462,0.544,113.983,0.114,11,0,4,2xql0pid3EUwW38AsywxhV
3,0.557,0.525,-6.324,0.149,0,0.362,153.247,0.524,2,1,4,2sMxswHr9wX7kTUHULvJBJ
4,0.597,0.848,-5.458,0.0406,0,0.324,139.876,0.173,4,1,4,0CjaLvAqN97KPVWgOJ1vbD
5,0.31,0.663,-6.075,0.101,0,0.407,172.768,0.443,3,1,3,4lerOTNr2tFWJCAmmhymhi
6,0.61,0.637,-5.881,0.027,0,0.322,128.863,0.61,1,1,4,2bvO1KXbUd4vySCWGNqIIa
7,0.599,0.448,-6.312,0.0232,0,0.168,95.05,0.163,8,1,3,0tgVpDi06FyKpA1z0VMD4v
8,0.625,0.315,-9.204,0.0349,0,0.46,135.795,0.862,4,1,4,3WpUm0g3LnhZcdMDmaj3XM
9,0.642,0.442,-9.115,0.074,1.58e-06,0.465,148.01,0.491,8,1,4,4NUt1fcnO9aQAELBgXq3Kr
10,0.533,0.559,-6.574,0.0321,0,0.284,136.037,0.228,2,1,4,2jFglF0pDwhrrXmeWZvmKY
11,0.481,0.496,-7.421,0.0262,0,0.453,89.839,0.588,8,1,4,6fScgF2Y63ScU73nYju0ny
12,0.505,0.667,-5.797,0.0323,0,0.516,151.728,0.597,9,1,4,6mTvwBzWTGDOVeCNQEqtOE
13,0.611,0.674,-6.143,0.0279,0,0.261,133.906,0.0961,7,0,4,5NSJ0qoxwbO26tVvqpL4N2
14,0.309,0.461,-9.393,0.0647,0,0.285,177.433,0.2,8,0,4,2yIUUOe7UVhvxQmaLVqRKr
15,0.483,0.468,-7.642,0.0341,0,0.319,135.875,0.784,8,1,4,1smFN2CLqGROu0J0UyvDfL
16,0.396,0.293,-14.062,0.0275,0.000196,0.343,100.307,0.941,2,1,3,44AyOl4qVkzS48vBsbNXaC
17,0.575,0.274,-10.242,0.035,8.67e-05,0.214,87.13,0.908,0,1,4,1hUXDEqjNIIbfjTcaz3jzb
18,0.458,0.472,-7.183,0.0478,0,0.322,150.936,0.417,6,1,4,6rCyXpDwlMf1GH2qlpjJWv
19,0.615,0.467,-9.883,0.0327,0,0.177,119.919,0.314,1,1,4,28UMiBhn383n9S7GL4tsxD
20,0.438,0.442,-12.691,0.0419,0,0.161,125.62,0.446,0,1,4,0T7JubkdjBXNDVadRIq2ck
