,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
143,0.425,0.434,-7.58,0.0359,0.0,0.491,146.359,0.733,7,1,3
144,0.515,0.555,-5.505,0.0311,9.84e-06,0.344,160.075,0.54,11,0,4
145,0.612,0.513,-8.971,0.0359,0.0,0.29,77.977,0.346,4,1,4
146,0.58,0.485,-5.438,0.0312,0.0,0.158,113.797,0.696,3,1,4
147,0.634,0.149,-9.349,0.0296,0.0,0.256,92.962,0.827,8,1,4
148,0.71,0.352,-9.26,0.045,8.39e-06,0.269,92.934,0.633,9,1,4
149,0.409,0.401,-6.776,0.0324,3.83e-05,0.416,143.59,0.662,3,0,4
0,0.426,0.523,-5.244,0.0359,0,0.482,81.979,0.568,5,0,4
1,0.48,0.199,-12.398,0.0329,0.0563,0.201,165.476,0.931,6,1,4
2,0.548,0.307,-9.214,0.0781,0,0.317,127.923,0.916,10,1,4
3,0.429,0.453,-7.746,0.0459,2e-06,0.155,77.639,0.554,0,1,4
4,0.508,0.43,-9.475,0.0335,0.000441,0.324,130.09,0.83,2,0,4
5,0.503,0.358,-8.158,0.0537,0,0.179,105.121,0.401,7,1,4
6,0.444,0.0911,-17.665,0.0307,1.05e-06,0.142,78.403,0.959,0,1,4
7,0.582,0.231,-9.136,0.0358,4.16e-06,0.191,130.122,0.933,0,1,4
8,0.348,0.381,-7.688,0.0552,0,0.494,84.896,0.204,11,1,3
9,0.407,0.308,-9.001,0.0296,1.46e-05,0.153,73.254,0.778,10,0,3
10,0.357,0.425,-7.301,0.0333,0,0.27,102.078,0.584,5,1,3
11,0.4,0.479,-7.989,0.0308,2.14e-06,0.213,166.159,0.0529,8,0,4
12,0.445,0.455,-6.405,0.0575,1.47e-06,0.151,109.885,0.731,7,1,5
13,0.4,0.641,-6.303,0.0674,0,0.393,81.552,0.214,8,1,4
14,0.445,0.232,-9.145,0.0294,3.31e-06,0.246,72.005,0.886,1,1,4
15,0.637,0.513,-6.797,0.0367,0,0.234,141.907,0.518,1,1,4
16,0.362,0.54,-6.031,0.0528,0,0.3,78.007,0.338,10,1,3
17,0.448,0.434,-8.483,0.0677,0,0.478,158.616,0.546,0,1,4
18,0.504,0.308,-14.958,0.0321,0.135,0.121,113.95,0.868,9,1,4
19,0.697,0.22,-13.696,0.042,0,0.194,129.966,0.703,0,1,4
20,0.453,0.383,-11.015,0.163,0,0.333,105.029,0.728,0,1,4
21,0.665,0.719,-6.897,0.0328,0,0.491,112.473,0.384,1,1,4
22,0.676,0.461,-3.59,0.0304,0,0.466,107.95,0.555,3,1,4
23,0.441,0.508,-5.662,0.0347,0.000168,0.19,75.194,0.879,11,1,4
24,0.445,0.537,-8.532,0.04,1.65e-05,0.131,122.769,0.695,4,0,4
25,0.427,0.458,-7.157,0.0355,0,0.35,122.828,0.697,0,1,4
26,0.609,0.692,-2.958,0.0259,0,0.454,116.959,0.0157,1,1,3
27,0.661,0.517,-7.74,0.0406,0,0.241,84.014,0.223,5,1,4
28,0.62,0.379,-8.675,0.0412,0,0.509,118.899,0.797,3,1,4
29,0.44,0.04,-16.887,0.0322,0.465,0.249,135.965,0.981,3,1,4
30,0.385,0.321,-8.368,0.0327,5.23e-05,0.213,152.007,0.526,4,1,3
31,0.604,0.366,-7.519,0.0282,0,0.13,141.981,0.578,5,1,4
32,0.379,0.29,-8.485,0.051,0.00106,0.169,166.467,0.952,4,1,4
33,0.408,0.338,-13.626,0.0431,0.000639,0.1,133.943,0.521,4,1,3
34,0.563,0.382,-11.138,0.0404,0,0.197,120.802,0.748,10,1,4
35,0.436,0.255,-8.623,0.0364,3.28e-05,0.15,113.265,0.955,3,1,4
36,0.512,0.204,-8.376,0.036,0,0.296,129.947,0.942,5,1,3
37,0.322,0.231,-12.919,0.0347,0.00076,0.228,91.186,0.932,4,1,3
38,0.371,0.268,-10.506,0.0281,0.0517,0.165,102.617,0.748,1,1,3
39,0.511,0.532,-5.745,0.0578,0,0.35,138.005,0.177,5,1,4
40,0.547,0.222,-8.709,0.0458,9.31e-05,0.528,106.28,0.962,0,1,4
41,0.482,0.0191,-28.939,0.0348,5.61e-05,0.333,99.151,0.975,4,1,4
42,0.508,0.417,-9.632,0.0296,0.0928,0.483,134.944,0.77,10,1,4
43,0.404,0.25,-13.286,0.0404,0.0144,0.244,137.829,0.926,3,1,4
44,0.68,0.406,-11.313,0.0414,0.00019,0.551,119.901,0.782,9,1,4
45,0.573,0.17,-10.576,0.0555,3.08e-06,0.28,146.749,0.834,11,1,3
46,0.554,0.326,-7.085,0.0299,0,0.278,71.267,0.697,9,1,4
47,0.571,0.0274,-20.274,0.0649,6.43e-06,0.087,124.209,0.948,9,0,3
48,0.378,0.483,-9.458,0.0364,2.09e-05,0.296,83.193,0.537,0,1,4
49,0.562,0.403,-5.441,0.0361,0,0.548,82.518,0.78,1,1,4
50,0.548,0.474,-8.743,0.0446,0,0.261,119.986,0.587,8,1,4
51,0.364,0.294,-6.578,0.0504,0,0.125,79.477,0.833,0,0,3
52,0.546,0.442,-6.541,0.0286,0,0.323,89.019,0.24,0,1,4
53,0.515,0.387,-10.614,0.192,0,0.408,86.313,0.757,7,1,3
54,0.532,0.623,-9.208,0.0331,7.28e-05,0.403,89.937,0.538,5,1,4
55,0.504,0.203,-11.97,0.0569,0,0.274,128.773,0.652,11,1,4
56,0.503,0.335,-10.051,0.0416,3.97e-06,0.298,145.09,0.921,0,1,4
57,0.537,0.17,-12.391,0.0673,0,0.185,137.613,0.869,6,1,4
58,0.629,0.312,-7.609,0.0318,0,0.456,77.044,0.813,1,1,4
59,0.675,0.568,-5.05,0.11,1.9e-06,0.551,82.007,0.211,5,0,3
60,0.519,0.638,-4.112,0.0405,0,0.531,155.988,0.408,1,1,4
61,0.708,0.298,-8.704,0.0483,0,0.399,86.838,0.887,6,1,4
62,0.663,0.251,-9.87,0.0435,0,0.528,90.272,0.88,6,0,4
63,0.499,0.246,-8.082,0.0345,0,0.153,81.051,0.853,7,1,4
64,0.5,0.373,-6.191,0.0335,0,0.158,118.943,0.602,0,1,4
65,0.45,0.33,-8.481,0.0295,0.0042,0.174,86.788,0.901,11,1,3
66,0.588,0.39,-7.753,0.0578,1.26e-05,0.206,96.571,0.726,8,1,4
67,0.467,0.359,-6.892,0.0815,0,0.21,173.318,0.843,3,1,3
68,0.384,0.167,-9.92,0.0375,0,0.258,95.102,0.924,0,1,4
69,0.416,0.436,-5.878,0.035,0,0.179,99.41,0.554,0,1,3
70,0.816,0.213,-12.952,0.0529,4.02e-06,0.323,121.916,0.912,6,0,4
71,0.482,0.43,-7.224,0.0481,2.79e-06,0.113,143.23,0.763,10,1,4
72,0.391,0.335,-10.064,0.0763,0,0.116,174.185,0.389,0,1,3
73,0.56,0.473,-7.23,0.0533,0,0.441,109.414,0.618,5,1,4
74,0.338,0.562,-7.181,0.029,0,0.259,149.907,0.039,9,1,4
75,0.632,0.349,-10.289,0.0346,7.5e-05,0.307,109.981,0.926,10,1,4
76,0.534,0.493,-6.818,0.0316,0,0.232,79.97,0.286,0,1,4
77,0.456,0.615,-5.454,0.0529,0,0.416,78.461,0.614,1,1,4
78,0.378,0.334,-10.993,0.304,0,0.496,181.296,0.776,1,1,4
79,0.595,0.667,-4.646,0.0394,0,0.401,115.0,0.227,9,1,4
0,0.601,0.794,-5.844,0.0671,1.36e-06,0.244,114.066,0.00987,7,0,4
1,0.562,0.437,-10.229,0.052,2.18e-05,0.15,124.852,0.219,0,1,4
2,0.52,0.731,-5.338,0.0557,0.00101,0.662,173.93,0.342,6,0,4
3,0.626,0.842,-3.827,0.0357,0.0,0.55,145.03,0.014,0,0,4
4,0.706,0.691,-4.775,0.0633,6.99e-05,0.632,118.048,0.0584,0,1,4
5,0.65,0.825,-4.645,0.0325,2.44e-05,0.593,118.091,0.0215,0,1,4
6,0.445,0.537,-8.532,0.04,1.65e-05,0.131,122.769,0.695,4,0,4
7,0.743,0.666,-8.337,0.0546,1.77e-05,0.492,101.002,0.432,11,1,4
8,0.645,0.795,-12.095,0.0527,0.00389,0.535,112.067,0.347,7,1,4
