,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,liveness,type,id,uri,track_href,analysis_url,duration_ms
35,0.487,0.607,-9.125,0.449,0.0,0.362,137.701,0.603,0,1,5,0.117,audio_features,7FENBu5fiEkOrpdxafdL6a,spotify:track:7FENBu5fiEkOrpdxafdL6a,https://api.spotify.com/v1/tracks/7FENBu5fiEkOrpdxafdL6a,https://api.spotify.com/v1/audio-analysis/7FENBu5fiEkOrpdxafdL6a,185760.0
36,0.803,0.637,-6.42,0.0358,5.99e-05,0.849,119.999,0.366,1,0,4,0.0964,audio_features,78wJrWIaCIqSvdt8z4dQgO,spotify:track:78wJrWIaCIqSvdt8z4dQgO,https://api.spotify.com/v1/tracks/78wJrWIaCIqSvdt8z4dQgO,https://api.spotify.com/v1/audio-analysis/78wJrWIaCIqSvdt8z4dQgO,674200.0
37,0.368,0.588,-5.714,0.0366,5.98e-06,0.554,86.075,0.741,3,0,4,0.0883,audio_features,07ZBpFkFuYBgLtET1IKlEb,spotify:track:07ZBpFkFuYBgLtET1IKlEb,https://api.spotify.com/v1/tracks/07ZBpFkFuYBgLtET1IKlEb,https://api.spotify.com/v1/audio-analysis/07ZBpFkFuYBgLtET1IKlEb,884513.0
38,0.555,0.79,-5.423,0.0679,0.0,0.951,148.508,0.321,5,1,4,0.341,audio_features,7yITTVw0jgmixmC1AdxK4G,spotify:track:7yITTVw0jgmixmC1AdxK4G,https://api.spotify.com/v1/tracks/7yITTVw0jgmixmC1AdxK4G,https://api.spotify.com/v1/audio-analysis/7yITTVw0jgmixmC1AdxK4G,546489.0
39,0.691,0.68,-6.03,0.0268,0.0,0.559,107.985,0.595,8,1,4,0.0612,audio_features,2DoRP6S2cH05KlScQ5AQ5R,spotify:track:2DoRP6S2cH05KlScQ5AQ5R,https://api.spotify.com/v1/tracks/2DoRP6S2cH05KlScQ5AQ5R,https://api.spotify.com/v1/audio-analysis/2DoRP6S2cH05KlScQ5AQ5R,387947.0
40,0.455,0.49,-11.768,0.0323,0.00394,0.667,137.61,0.738,5,0,4,0.194,audio_features,52yooX8jYLv1gWAW7Ic8cu,spotify:track:52yooX8jYLv1gWAW7Ic8cu,https://api.spotify.com/v1/tracks/52yooX8jYLv1gWAW7Ic8cu,https://api.spotify.com/v1/audio-analysis/52yooX8jYLv1gWAW7Ic8cu,715419.0
41,0.311,0.438,-13.036,0.0464,1.48e-05,0.472,147.267,0.651,4,1,4,0.28,audio_features,7g5SJT9MvZvKbsVixlfWrO,spotify:track:7g5SJT9MvZvKbsVixlfWrO,https://api.spotify.com/v1/tracks/7g5SJT9MvZvKbsVixlfWrO,https://api.spotify.com/v1/audio-analysis/7g5SJT9MvZvKbsVixlfWrO,1843042.0
42,0.524,0.177,-16.789,0.0329,0.0,0.269,120.073,0.813,6,1,4,0.139,audio_features,5rmTxKEXjHs2NwUanOMFYU,spotify:track:5rmTxKEXjHs2NwUanOMFYU,https://api.spotify.com/v1/tracks/5rmTxKEXjHs2NwUanOMFYU,https://api.spotify.com/v1/audio-analysis/5rmTxKEXjHs2NwUanOMFYU,437000.0
43,0.692,0.937,-4.714,0.0773,0.0,0.951,101.984,0.182,1,0,4,0.191,audio_features,4ZBZKoRztCc5kVZQo3p4gl,spotify:track:4ZBZKoRztCc5kVZQo3p4gl,https://api.spotify.com/v1/tracks/4ZBZKoRztCc5kVZQo3p4gl,https://api.spotify.com/v1/audio-analysis/4ZBZKoRztCc5kVZQo3p4gl,292941.0
44,0.691,0.464,-14.778,0.0477,0.000104,0.815,123.683,0.534,10,1,4,0.208,audio_features,7hKzPPh92Fq8cqUgL7QplA,spotify:track:7hKzPPh92Fq8cqUgL7QplA,https://api.spotify.com/v1/tracks/7hKzPPh92Fq8cqUgL7QplA,https://api.spotify.com/v1/audio-analysis/7hKzPPh92Fq8cqUgL7QplA,914097.0
