,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
158,0.664,0.779,-11.964,0.0426,0.898,0.211,109.999,0.136,5,0,4
159,0.615,0.765,-6.821,0.0351,0.0106,0.233,102.009,0.41,8,1,4
160,0.698,0.871,-7.073,0.0469,0.0,0.79,98.003,0.221,2,1,4
161,0.835,0.609,-7.073,0.0535,0.000987,0.531,111.867,0.262,8,1,4
162,0.735,0.483,-9.437,0.0775,0.000189,0.184,117.019,0.326,2,1,5
163,0.592,0.807,-7.86,0.0327,0.94,0.071,111.977,0.877,5,1,4
164,0.629,0.552,-9.978,0.0523,0.122,0.355,124.975,0.38,0,1,4
165,0.638,0.642,-7.656,0.0317,0.0423,0.346,123.996,0.129,8,1,4
166,0.797,0.54,-10.807,0.0994,0.528,0.541,99.994,0.299,1,1,4
167,0.818,0.909,-5.674,0.0339,2.95e-06,0.911,121.915,0.446,4,0,4
168,0.756,0.405,-13.438,0.118,0.167,0.169,115.013,0.811,7,0,4
169,0.44,0.791,-7.318,0.0696,0.972,0.0744,119.748,0.428,3,1,3
170,0.719,0.355,-9.975,0.0664,0.308,0.41,144.93,0.881,1,1,4
171,0.532,0.712,-8.815,0.0711,0.0724,0.177,179.988,0.0537,4,1,3
172,0.669,0.612,-9.359,0.0338,0.505,0.3,114.001,0.843,10,1,4
173,0.666,0.626,-7.733,0.0862,0.00025,0.404,109.876,0.503,9,1,4
174,0.645,0.795,-10.696,0.0382,0.963,0.202,114.989,0.354,3,1,4
175,0.598,0.295,-12.05,0.0461,0.0106,0.326,74.963,0.654,6,0,4
176,0.65,0.805,-9.192,0.0362,0.134,0.0989,115.071,0.219,11,1,4
177,0.773,0.687,-7.879,0.157,4.11e-06,0.225,110.058,0.54,0,1,4
178,0.637,0.564,-11.068,0.0322,0.634,0.154,116.997,0.26,2,0,4
179,0.69,0.778,-7.316,0.037,0.0987,0.255,119.046,0.536,4,1,4
180,0.716,0.443,-14.937,0.0462,0.934,0.257,120.017,0.622,8,0,4
181,0.614,0.591,-8.709,0.0404,0.171,0.334,159.985,0.687,2,0,4
182,0.656,0.522,-10.777,0.11,0.00509,0.176,111.824,0.7,8,1,4
183,0.6,0.567,-10.483,0.0359,0.278,0.0503,123.95,0.49,2,1,4
184,0.631,0.661,-8.39,0.0534,0.801,0.0393,170.012,0.666,3,0,4
185,0.673,0.671,-7.026,0.0358,0.107,0.31,107.013,0.0333,1,0,4
186,0.729,0.774,-6.625,0.237,7.84e-05,0.369,95.948,0.14,7,1,4
187,0.584,0.633,-7.679,0.0528,0.000974,0.246,115.03,0.333,5,1,4
188,0.548,0.49,-12.443,0.0639,0.0036,0.0658,121.06,0.162,1,0,4
189,0.628,0.469,-11.335,0.0275,0.02,0.109,120.046,0.448,10,1,4
190,0.809,0.604,-7.703,0.0269,3.36e-06,0.702,109.005,0.282,7,1,4
191,0.681,0.509,-8.004,0.058,9.92e-06,0.0962,118.991,0.0481,1,1,4
192,0.73,0.412,-15.13,0.0844,0.475,0.232,114.989,0.578,2,1,4
193,0.652,0.688,-12.774,0.0372,0.0962,0.187,116.999,0.464,7,1,4
194,0.787,0.464,-9.836,0.0964,7.24e-06,0.247,99.99,0.172,2,1,4
195,0.596,0.608,-9.74,0.0347,0.0689,0.176,113.996,0.806,0,0,4
196,0.791,0.633,-11.506,0.0486,0.713,0.0732,108.0,0.0187,5,1,4
197,0.708,0.573,-13.162,0.129,0.0878,0.0941,117.975,0.712,0,1,4
198,0.623,0.489,-14.083,0.0766,0.826,0.208,118.031,0.574,8,0,4
199,0.662,0.48,-9.282,0.0446,0.0199,0.52,123.944,0.728,6,1,4
200,0.741,0.488,-14.283,0.0427,0.768,0.127,110.055,0.354,5,0,4
201,0.566,0.521,-11.858,0.028,0.899,0.0823,122.001,0.316,10,0,4
202,0.777,0.564,-10.264,0.143,0.596,0.106,115.978,0.813,7,1,4
203,0.688,0.547,-8.754,0.0578,9.3e-05,0.0528,106.048,0.678,2,1,4
204,0.697,0.689,-8.576,0.0979,0.000163,0.284,111.1,0.379,0,1,4
205,0.613,0.565,-8.968,0.0324,0.000675,0.0684,121.972,0.362,8,0,4
206,0.602,0.681,-12.081,0.038,0.806,0.0399,119.969,0.231,2,1,4
207,0.592,0.473,-12.298,0.0428,0.0442,0.0539,117.998,0.698,10,0,4
208,0.689,0.416,-9.32,0.0324,0.875,0.0971,120.027,0.51,0,1,4
