,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature,id
10,0.545,0.675,-6.474,0.0279,0.00197,0.162,124.97,0.00617,6,1,4,0FDzzruyVECATHXKHFs9eJ
11,0.527,0.835,-5.298,0.0433,0.0,0.654,125.983,0.0166,6,1,4,0ct6r3EGTcMLPtrXHDvVjc
12,0.778,0.824,-5.892,0.0707,0.0,0.758,100.024,0.284,10,0,4,3ZFTkvIE7kyPt6Nu3PEa7V
13,0.635,0.841,-5.379,0.0422,0.0,0.424,109.021,0.0134,5,1,4,7BqBn9nzAq8spo5e7cZ0dJ
14,0.791,0.862,-3.24,0.11,2.19e-05,0.592,123.994,0.037,9,0,4,7ef4DlsgrMEH11cDZd32M6
15,0.788,0.859,-2.724,0.0856,0.0,0.822,141.02,0.281,2,1,4,50nfwKoDiSYg8zOCREWAm5
16,0.65,0.715,-5.198,0.253,0.000291,0.187,106.672,0.0993,5,0,4,1IHWl5LamUGEuP4ozKQSXZ
17,0.824,0.764,-4.175,0.0854,0.00294,0.881,107.998,0.0888,5,0,4,6Uj1ctrBOjOas8xZXGqKk4
18,0.449,0.585,-6.761,0.0268,8.75e-05,0.212,139.631,0.0509,5,1,4,6nek1Nin9q48AVZcWs9e9D
19,0.789,0.706,-4.233,0.0429,1.71e-05,0.638,125.911,0.112,11,0,4,2ENexcMEMsYk0rVJigVD3i
20,0.726,0.787,-2.494,0.0737,0.0,0.888,124.99,0.009,4,1,4,4cluDES4hQEUhmXj6TXkSo
21,0.671,0.939,-3.206,0.161,0.0,0.53,129.024,0.191,8,1,4,4QNpBfC0zvjKqPJcyqBy9W
22,0.856,0.609,-7.223,0.0824,8.15e-05,0.928,114.988,0.00801,0,1,4,32OlwWuMpZ6b0aN2RZOeMS
23,0.755,0.837,-2.718,0.142,0.0,0.714,120.028,0.0991,2,0,4,0HPD5WQqrq7wPWR7P7Dw1i
24,0.591,0.764,-5.484,0.0483,0.0,0.478,169.928,0.0383,1,1,4,567e29TDzLwZwfDuEpGTwo
25,0.733,0.67,-6.009,0.0751,0.0,0.472,100.964,0.121,5,1,4,0O6u0VJ46W86TxN9wgyqDj
26,0.673,0.886,-4.44,0.0431,0.0,0.795,97.012,0.185,1,0,4,4HlFJV71xXKIGcU3kRyttv
27,0.631,0.927,-2.787,0.0332,0.119,0.465,123.962,0.199,9,0,4,0azC730Exh71aQlOt9Zj3y
28,0.768,0.714,-5.11,0.0401,0.0,0.842,131.443,0.352,10,1,4,5YqEzk3C5c3UZ1D5fJUlXA
29,0.712,0.862,-4.612,0.0378,0.0,0.809,95.051,0.0525,5,0,4,6ECp64rv50XVz93WvxXMGF
30,0.727,0.974,-2.261,0.0664,0.000532,0.965,79.526,0.103,4,0,4,2PpruBYCo4H7WOBJ7Q2EwM
31,0.702,0.825,-3.787,0.0601,0.0,0.915,102.977,0.00883,6,0,4,5nujrmhLynf4yMoMtj8AQF
32,0.676,0.771,-3.675,0.0483,7e-06,0.569,99.048,0.0237,8,1,4,3jjujdWJ72nww5eGnfs2E7
33,0.807,0.893,-3.745,0.0347,2.79e-05,0.537,126.011,0.0451,11,0,4,3rmo8F54jFF8OgYsqTxm5d
34,0.672,0.655,-5.021,0.0311,0.0,0.556,134.945,0.0362,10,0,4,6Qn5zhYkTa37e91HC1D7lb
35,0.774,0.753,-5.446,0.0517,0.0,0.896,119.002,0.152,4,0,4,76hfruVvmfQbw0eYn1nmeC
36,0.581,0.963,-4.087,0.0981,0.0,0.788,129.992,0.0295,11,1,4,3cHyrEgdyYRjgJKSOiOtcS
37,0.596,0.854,-5.114,0.463,0.0,0.152,120.274,0.0169,7,0,4,2iUXsYOEPhVqEBwsqP70rE
38,0.768,0.864,-6.145,0.0324,0.0,0.891,110.008,0.101,11,1,4,1Je1IMUlBXcx1Fz0WE7oPT
39,0.762,0.766,-3.955,0.0343,6.98e-05,0.442,130.001,0.00776,7,1,4,5fwSHlTEWpluwOM0Sxnh5k
40,0.707,0.924,-2.842,0.031,0.00703,0.919,127.937,0.000972,7,1,4,1gihuPhrLraKYrJMAEONyc
41,0.714,0.728,-4.595,0.0468,0.0,0.901,114.996,0.298,10,1,4,1qEmFfgcLObUfQm0j1W2CK
42,0.874,0.692,-5.28,0.0431,7.24e-05,0.937,116.017,0.0412,5,0,4,55h7vJchibLdUkxdlX3fK7
43,0.526,0.749,-6.964,0.0283,1.76e-06,0.421,99.982,0.023,3,1,4,754kgU5rWscRTfvlsuEwFp
44,0.697,0.683,-2.881,0.117,0.0,0.603,96.133,0.0372,1,0,4,2BgEsaKNfHUdlh97KmvFyo
45,0.769,0.684,-5.019,0.0411,0.000125,0.835,127.972,0.0105,1,1,4,7ySUcLPVX7KudhnmNcgY2D
46,0.721,0.802,-5.797,0.0583,0.0,0.724,124.022,0.0921,1,1,4,2bJvI42r8EF3wxjOuDav4r
47,0.677,0.696,-6.181,0.119,0.0,0.464,90.03,0.321,0,1,4,4iJyoBOLtHqaGxP12qzhQI
48,0.764,0.705,-3.463,0.0284,8.92e-05,0.781,110.97,0.259,8,1,4,3DarAbFujv6eYNliUTyqtz
49,0.663,0.861,-3.398,0.109,0.0,0.654,119.963,0.0338,7,0,4,4356Typ82hUiFAynbLYbPn
50,0.484,0.731,-6.694,0.0379,0.0,0.51,101.654,0.431,1,1,4,3JvrhDOgAt6p7K8mDyZwRd
51,0.835,0.669,-5.582,0.0643,6.92e-05,0.542,122.668,0.0336,6,0,4,0ByMNEPAPpOR5H69DVrTNy
52,0.647,0.822,-4.662,0.183,0.0,0.962,160.019,0.219,5,0,4,60nZcImufyMA1MKQY3dcCH
53,0.72,0.791,-4.689,0.124,0.0,0.756,102.071,0.0384,1,1,4,6FE2iI43OZnszFLuLtvvmg
54,0.746,0.765,-4.41,0.0993,0.0,0.737,114.044,0.0112,6,0,4,5QDLhrAOJJdNAmCTJ8xMyW
55,0.794,0.811,-8.966,0.038,1.07e-06,0.862,116.047,0.0426,6,0,4,2Foc5Q5nqNiosCNqttzHof
56,0.641,0.922,-4.457,0.0786,0.0,0.847,146.078,0.0291,2,1,4,3bidbhpOYeV4knp8AIu8Xn
57,0.747,0.937,-5.746,0.0453,0.0,0.739,103.976,0.0208,0,1,4,3bC1ahPIYt1btJzSSEyyrF
58,0.892,0.714,-6.055,0.141,0.000234,0.817,100.972,0.201,4,0,4,1AWQoqb9bSvzTjaLralEkT
59,0.902,0.582,-5.902,0.109,3.18e-06,0.332,107.005,0.111,5,0,4,0wHFktze2PHC5jDt3B17DC
60,0.717,0.455,-8.303,0.0276,0.0,0.389,127.812,0.0846,5,1,4,2ixsaeFioXJmMgkkbd4uj1
61,0.737,0.846,-4.51,0.22,0.0,0.546,87.981,0.00614,1,0,4,0e8nrvls4Qqv5Rfa2UhqmO
62,0.694,0.712,-3.923,0.046,0.0,0.799,98.023,0.132,7,0,4,1rIKgCH4H52lrvDcz50hS8
63,0.765,0.523,-4.333,0.03,3.56e-05,0.394,104.988,0.184,2,1,4,1rfofaqEpACxVEHIZBJe6W
64,0.608,0.86,-5.324,0.0554,0.0,0.437,127.075,0.0991,5,0,4,1NpW5kyvO4XrNJ3rnfcNy3
65,0.854,0.806,-8.262,0.0886,0.0542,0.637,124.927,0.0209,11,0,4,20on25jryn53hWghthWWW3
66,0.735,0.766,-4.485,0.0383,0.00138,0.6,127.985,0.025,1,1,4,0U10zFw4GlBacOy9VDGfGL
67,0.704,0.636,-6.029,0.0252,0.0,0.89,111.845,0.0344,9,1,4,7aQjPecQdIuNd1sz3KCDhD
68,0.73,0.777,-5.194,0.0496,0.000478,0.575,130.0,0.105,3,0,4,3C0nOe05EIt1390bVABLyN
69,0.731,0.867,-5.881,0.032,0.0,0.776,104.019,0.0395,11,1,4,3cfOd4CMv2snFaKAnMdnvK
70,0.673,0.758,-3.632,0.158,0.0,0.542,135.956,0.039,7,1,4,0Hf4aIJpsN4Os2f0y0VqWl
71,0.673,0.902,-2.392,0.0346,0.000262,0.538,100.012,0.0591,2,1,4,5Hroj5K7vLpIG4FNCRIjbP
72,0.7,0.709,-5.006,0.0838,0.0,0.624,122.019,0.0048,7,1,4,1gv4xPanImH17bKZ9rOveR
